Customer ID,Sum of Sales,Sum of Quantity
13530,฿402.98,272
13531,฿1738.52,600
13532,฿210.31,129
13533,฿270.79,204
13534,฿7324.5,3708
13535,฿89.5,10
13536,฿3448.29,2136
13537,฿717.85,337
13538,฿3112.73,963
13539,฿1531.26,698
13540,฿632.39,189
13541,฿717.9,266
13542,฿3970.77,812
13543,฿1439.61,329
13544,฿820.5,357
13545,฿347.35,250
13546,฿1092.14,589
13547,฿175.53,82
13548,฿908.99,565
13549,฿1003.72,553
13550,฿349.51,454
13551,฿244.2,36
13552,฿6618.63,2586
13553,฿517.8,206
13554,฿1556.39,567
13555,฿8906.34,4808
13556,฿200.82,134
13557,฿2980.08,2360
13558,฿605.06,344
13559,฿990,360
13560,฿174.37,64
13561,฿1820.72,1136
13562,฿4838.18,1603
13563,฿777.53,209
13564,฿15786.72,9147
13565,฿414.8,260
13566,฿1708.12,1266
13567,฿1078.59,643
13568,฿192.85,70
13569,฿893.78,402
13570,฿239.49,161
13571,฿4546.54,3197
13572,฿1384.25,534
13573,฿916.47,660
13574,฿421.25,316
13575,฿732.07,449
13576,฿11516.15,4601
13577,฿3346.62,1612
13578,฿147.66,127
13579,฿1535.84,760
13580,฿107.75,45
13581,฿280.53,119
13582,฿241.68,106
13583,฿1445.031,1097
13584,฿347.15,276
13585,฿674.46,1338
13586,฿131.53,39
13587,฿1308.1,644
13588,฿2445.12,2573
13589,฿1120.74,293
13590,฿6298.29,5266
13591,฿2081.19,849
13592,฿247.96,84
13593,฿5475.21,2162
13594,฿508.42,394
13595,฿818.22,353
13596,฿697.04,406
13597,฿372.21,220
13598,฿776.84,400
13599,฿9790.34,6270
13600,฿518.42,599
13601,฿1185.14,972
13602,฿1025.17,538
13603,฿164.34,164
13604,฿713.39,239
13605,฿522.67,425
13606,฿280.54,279
13607,฿1060.61,462
13608,฿236.2,113
13609,฿167.35,19
13610,฿2144.13,901
13611,฿3281.03,1989
13612,฿777.79,438
13613,฿1039.85,445
13614,฿2359.19,828
13615,฿6212.23,2891
13616,฿288.1,175
13617,฿1263.8,592
13618,฿177.34,246
13619,฿231.69,84
13620,฿112.34,74
13621,฿213.85,343
13622,฿651.45,377
13623,฿2446.36,1009
13624,฿427.18,814
13625,฿301.26,144
13626,฿689.49,395
13627,฿2217.55,1627
13628,฿310.14,106
13629,฿13370.86,7722
13630,฿1995.68,1377
13631,฿3021.77,460
13632,฿3634.7,1636
13633,-฿306.66,-1
13634,฿4519.55,1940
13635,฿2948.22,1869
13636,฿941.62,586
13637,฿810.5,409
13638,฿122.64,93
13639,฿1346.27,997
13640,฿405,108
13641,฿921.82,1080
13642,฿501.97,252
13643,฿2112.17,894
13644,฿2597.52,2060
13645,฿252.1,158
13646,฿323.3,78
13647,฿3063.78,1802
13648,฿1679.01,928
13649,฿1678.88,863
13650,฿3098.5,1674
13651,฿208.95,60
13652,฿2570.85,1570
13653,฿152.2,72
13654,฿6308,4762
13655,฿2259.3,1212
13656,฿1053.35,859
13657,฿382.14,209
13658,฿5772.07,2146
13659,฿4716.63,2504
13660,฿303.69,135
13661,฿325.24,118
13662,฿2183.13,1152
13663,฿2013.61,891
13664,-฿13.14,-1
13665,฿1711.66,1652
13666,฿127.9,54
13667,฿305.02,154
13668,฿12749.14,5982
13669,฿413.55,393
13670,฿349.7,282
13671,฿194.95,107
13672,฿162.07,80
13673,฿396.92,119
13674,฿215.88,98
13675,฿486.82,330
13676,฿153.15,59
13677,฿556.19,218
13678,฿232.6,924
13679,฿281.26,102
13680,฿9915.56,4583
13681,฿827.83,360
13682,฿59.5,10
13683,฿258.6,180
13684,฿546.52,223
13685,฿3119.44,5056
13686,฿409.04,378
13687,฿11880.84,87167
13688,฿375.5,130
13689,฿1259.5,722
13690,฿172.25,67
13691,฿212.78,145
13692,฿3016.45,2089
13693,฿1948.32,871
13694,฿190825.52,185442
13695,฿2770.73,1791
13696,฿2008.7,546
13697,฿151.3,177
13698,฿465.53,231
13699,฿711.4,214
13700,฿2586.21,2798
13701,฿159.55,79
13702,฿135.18,74
13703,฿99.5,10
13704,฿2295.31,1528
13705,฿2035.33,1009
13706,฿631.17,301
13707,฿3365.86,2210
13708,฿296.88,306
13709,฿7512.81,4115
13710,฿509.52,336
13711,฿1632.61,796
13712,฿766.42,1128
13713,฿743.26,286
13714,฿161.35,50
13715,฿8438.34,4919
13716,฿138.28,138
13717,฿1748.05,2141
13718,฿306.55,173
13719,฿2815.25,1599
13720,฿799.9,501
13721,฿741.54,512
13722,฿5629.16,3058
13723,฿1209.2,629
13724,฿213.01,130
13725,฿1809.81,659
13726,฿1079.66,1054
13727,฿1067.3,367
13728,฿2855.17,1269
13729,฿676.43,405
13730,฿752.6,488
13731,฿610.59,278
13732,฿491.86,498
13733,฿484.53,333
13734,฿3451.29,210
13735,฿9472.81,4070
13736,฿2715.01,1540
13737,฿339.6,125
13738,฿440.93,240
13739,฿292.2,76
13740,฿1597.77,991
13741,฿666.33,217
13742,฿3102.42,1116
13743,฿1340.15,1775
13744,฿1156.36,1249
13745,฿761.27,1121
13746,฿176.69,83
13747,฿249.4,68
13748,฿2268.35,1108
13749,-฿10.25,-7
13750,฿3563.6,1360
13751,฿296.25,152
13752,฿1590.73,1007
13753,฿2094.57,1450
13754,฿447.05,315
13755,฿2154.68,1241
13756,฿9147.2,5415
13757,฿195.55,54
13758,฿9263.14,5059
13759,฿659.41,287
13760,฿1358.64,619
13761,฿1952.17,1079
13762,฿2165.76,2336
13763,฿5181.99,3220
13764,฿2953.26,2099
13765,฿352.821,297
13766,฿190.35,137
13767,฿35115.68,15139
13768,฿758.07,357
13769,฿5766.63,2558
13770,฿785.37,468
13771,฿5726.07,3139
13772,฿3094.72,1434
13773,฿301.54,174
13774,฿345,192
13775,฿1049.66,455
13776,-฿340.17,-4
13777,฿56016.57,26566
13778,฿1116.54,510
13779,฿161.13,53
13780,฿735.82,481
13781,฿770.88,299
13782,฿1785.77,648
13783,฿1542.09,3437
13784,฿2897.18,2822
13785,฿542.49,151
13786,฿2736.41,1639
13787,฿1173.7,987
13788,฿3.75,1
13789,฿239.46,258
13790,฿348.8,748
13791,฿1047.68,828
13792,฿383.95,156
13793,฿96,52
13794,฿126.03,63
13795,฿836.3,1250
13796,฿289.7,218
13797,฿1168.45,570
13798,฿73573.47,47410
13799,฿2039.82,1358
13800,฿1679.56,891
13801,฿324.8,168
13802,฿25491.56,13830
13803,฿1319.11,819
13804,฿3208.52,1833
13805,฿924.6,1900
13806,฿256.38,56
13807,฿509.9,150
13808,฿1747.66,782
13809,฿679.7,281
13810,฿899.51,311
13811,฿591.75,67
13812,฿539,333
13813,฿2686.42,1276
13814,฿2239.07,1211
13815,฿7285.79,5358
13816,฿555.04,260
13817,฿382.98,211
13818,฿61.28,60
13819,฿2631.1,2302
13820,฿640.4,284
13821,฿1387.03,477
13822,฿632,611
13823,฿3358.55,1560
13824,฿3273.36,1434
13825,฿255.59,182
13826,฿174.65,80
13827,฿412.05,141
13828,฿209.49,311
13829,฿0,0
13830,฿135.95,45
13831,฿7009.18,2553
13832,฿602.44,419
13833,฿701.36,244
13834,฿247.89,214
13835,฿1044.82,513
13836,฿602.52,270
13837,฿271.24,183
13838,฿1966.09,794
13839,฿139.95,25
13840,฿651.4,358
13841,฿85,100
13842,฿5604.96,2872
13843,฿319.75,145
13844,฿361.62,196
13845,฿312.98,182
13846,฿1290.34,700
13847,฿310.72,96
13848,฿3335,10200
13849,฿3443.8,1881
13850,฿1586.81,941
13851,฿4516.76,2519
13852,฿170.45,79
13853,฿1056.94,304
13854,฿12158.21,3689
13855,฿1253.94,561
13856,฿1058.88,1086
13857,฿997.11,780
13858,฿216.17,75
13859,฿515.86,167
13860,฿1240,589
13861,฿251.31,220
13862,฿2534.04,1921
13863,฿1217.63,546
13864,฿662.4,192
13865,฿501.56,204
13866,฿145.67,57
13867,฿1015.29,513
13868,฿3192.54,1964
13869,฿8111.57,4358
13870,฿5689.84,3443
13871,฿7804.95,3462
13872,฿891.32,332
13873,฿1031.02,470
13874,฿1989.2,851
13875,฿4814.37,3072
13876,฿122.7,36
13877,฿446.33,475
13878,฿2473.06,959
13879,฿395.5,204
13880,฿4391.66,2589
13881,฿44392.5,29446
13882,฿1131.28,950
13883,฿6342.74,3493
13884,฿1852.38,790
13885,฿506.8,182
13886,฿243.56,126
13887,฿349.55,147
13888,฿2169.05,903
13889,฿1855.73,947
13890,฿2858.73,1365
13891,฿863.56,479
13892,฿1267.65,3125
13893,฿821.1,190
13894,฿535.97,339
13895,฿3923.62,2058
13896,฿388.55,149
13897,฿1160.72,820
13898,฿686.4,544
13899,฿388.52,156
13900,฿1608.09,936
13901,฿5599.34,3326
13902,฿30411.26,218090
13903,฿165.45,103
13904,฿332.64,332
13905,฿244.45,124
13906,฿42,100
13907,฿136.8,68
13908,฿2347.05,1470
13909,฿286.6,302
13910,-฿127.66,-1
13911,฿4200.04,4476
13912,฿124.95,29
13913,฿42.22,10
13914,฿613.95,379
13915,฿31.2,16
13916,฿1260.51,667
13917,฿272.04,228
13918,฿1212.84,1140
13919,฿1326.03,1096
13920,฿1734.88,1768
13921,฿720.75,209
13922,฿824.7,453
13923,฿351.13,185
13924,฿1682.08,1532
13925,฿616.65,327
13926,฿223.85,104
13927,฿689.96,457
13928,฿464.57,129
13929,฿3318.1,1550
13930,฿337.34,274
13931,฿5250.78,3484
13932,฿307.4,72
13933,฿608.79,205
13934,฿922.1,390
13935,฿6116.92,2252
13936,฿924.36,655
13937,฿867.38,586
13938,฿71.66,70
13939,฿1533.66,1600
13940,฿839.14,516
13941,฿10846.15,5333
13942,฿320,1000
13943,฿246.54,94
13944,฿200.43,153
13945,฿854.15,413
13946,฿1745.43,2823
13947,฿90.6,44
13948,฿536.86,246
13949,฿2427.32,2474
13950,฿728.56,321
13951,฿674.45,459
13952,฿12790.891,5938
13953,฿6640.68,5224
13954,฿378.59,141
13955,฿545.17,274
13956,฿1026.42,491
13957,฿458.25,157
13958,฿4402.33,2192
13959,฿1076.18,700
13960,฿230.22,142
13961,฿498.7,222
13962,฿362.8,160
13963,฿2899.62,2054
13964,฿421.9,226
13965,฿777.66,402
13966,฿390.86,772
13967,฿166.3,66
13968,฿123.66,174
13969,฿13212.77,6755
13970,฿846.55,469
13971,฿4593.83,3052
13972,฿190.25,187
13973,฿264.7,109
13974,฿663.52,354
13975,฿5327.29,3926
13976,฿1192.36,452
13977,฿519.81,303
13978,฿196.79,315
13979,฿3326.83,2278
13980,฿753.12,471
13981,฿327.39,233
13982,฿4418.79,2724
13983,฿6993.41,4043
13984,฿1616.12,1013
13985,฿9982.31,4929
13986,฿320.46,430
13987,฿682.54,492
13988,฿4708.64,3366
13989,฿2026.06,2207
13990,฿311.3,190
13991,฿850.63,996
13992,฿219.5,154
13993,฿6690.36,2120
13994,฿2313.14,940
13995,฿3836.26,2324
13996,฿895.76,613
13997,฿382.31,146
13998,฿566.7,204
13999,฿9438.01,5023
14000,฿1877.59,1811
14001,฿4517.34,1870
14002,฿529.73,877
14003,฿209.41,149
14004,฿6258.45,3425
14005,฿2874.72,2478
14006,฿2196.67,2181
14007,฿79.48,16
14008,฿493.74,320
14009,฿1090.23,947
14010,฿288.1,128
14011,฿451.92,642
14012,฿328.8,160
14013,฿1006.22,766
14014,฿1948.21,2004
14015,฿917.34,378
14016,฿11379.71,5720
14017,฿229.75,73
14018,฿367.15,224
14019,฿1398.96,1034
14020,฿1213.26,641
14021,฿1716.58,878
14022,฿792.15,681
14023,฿584.07,345
14024,฿645.74,238
14025,฿3969.1,1904
14026,฿713.11,427
14027,฿104.82,62
14028,฿3175.5,4679
14029,฿467.66,198
14030,฿8145.59,4296
14031,฿38025.97,13957
14032,฿4786.07,3879
14033,฿109.44,576
14034,฿512.02,315
14035,฿2852.47,1416
14036,฿626.65,268
14037,฿755.95,563
14038,฿3000.93,1697
14039,฿267.28,192
14040,฿12457.84,4994
14041,฿141.41,94
14042,฿431.98,180
14043,฿301.3,152
14044,฿3106.15,2125
14045,฿9660.63,4249
14046,฿154.99,460
14047,฿4158.73,1634
14048,฿713.89,453
14049,฿13064.03,8554
14050,฿746.36,689
14051,฿22104.5,5891
14052,฿480.81,187
14053,฿572.3,490
14054,฿92.46,62
14055,฿1520.96,720
14056,฿8124.4,4232
14057,฿8338.28,6317
14058,฿469.19,211
14059,฿183.6,128
14060,฿9503.14,8105
14061,฿917.43,133
14062,฿25434.83,12698
14063,-฿3767.2,3846
14064,฿3039.75,3448
14065,฿889.37,581
14066,฿152.55,45
14067,฿374.7,361
14068,฿1504.97,501
14069,฿230.06,59
14070,฿326.55,86
14071,฿1307.41,900
14072,฿390.85,65
14073,฿139.54,128
14074,฿219.4,228
14075,฿1734.87,1494
14076,฿122.47,81
14077,฿615.08,376
14078,฿1692.63,618
14079,฿618.73,302
14080,฿1075.73,267
14081,฿5250.05,3692
14082,฿413.36,246
14083,฿1407.26,966
14084,฿150.5,306
14085,฿10092.22,6563
14086,฿39.95,1
14087,฿803.47,702
14088,฿62400.02,15179
14089,฿161,134
14090,฿76.32,72
14091,฿9530.08,3316
14092,฿7209.74,3599
14093,฿442.85,406
14094,฿334.27,176
14095,฿2.95,1
14096,฿57120.91,16335
14097,฿422.86,352
14098,฿147.35,104
14099,฿5700.51,3660
14100,฿194.9,64
14101,฿9942.13,10530
14102,฿1314.73,938
14103,฿0,5
14104,฿771.58,509
14105,฿5703.98,3483
14106,฿214.8,24
14107,฿4853.7,3481
14108,฿1041.21,672
14109,฿80.2,56
14110,฿12957.6,5825
14111,฿688.6,457
14112,฿5524.51,3422
14113,฿6156.75,3092
14114,฿1364.09,650
14115,฿622.67,509
14116,฿1382.74,707
14117,฿90,72
14118,฿458.45,97
14119,฿163.47,175
14120,-฿23.8,-4
14121,฿2740.3,2078
14122,฿309.77,95
14123,฿436.18,234
14124,฿419.58,1618
14125,฿2740.43,1640
14126,฿1109.96,837
14127,฿1900.08,828
14128,฿909.36,811
14129,฿2591.34,1414
14130,฿1882.67,1239
14131,฿187.87,118
14132,฿3580.13,3366
14133,฿895.84,392
14134,฿11123.35,5814
14135,฿9605.05,9332
14136,฿1553.96,1145
14137,฿294.1,400
14138,฿982.38,610
14139,฿1086.8,1049
14140,฿920.05,809
14141,฿879.03,337
14142,฿967.75,825
14143,฿115.8,30
14144,฿30.6,12
14145,฿7006.05,1535
14146,฿8208.87,5229
14147,฿2019.3,837
14148,฿466.29,223
14149,฿259.43,129
14150,฿658.64,496
14151,฿666.7,404
14152,฿1975.44,1826
14153,฿233.4,312
14154,฿6263.6,3204
14155,฿118.75,25
14156,฿296564.69,163910
14157,฿970.33,529
14158,฿507.66,781
14159,฿7571.88,6368
14160,฿8421.47,4661
14161,฿3318.88,1623
14162,฿289.36,142
14163,฿2594.62,950
14164,฿1631.77,1033
14165,฿122.54,54
14166,฿256.85,84
14167,฿1296.49,350
14168,฿305.9,138
14169,฿624.43,208
14170,฿597.33,290
14171,฿498.79,211
14172,฿389.97,87
14173,฿566.95,191
14174,฿134.46,94
14175,฿7350.44,2920
14176,฿913.11,324
14177,฿2224.39,1047
14178,฿1620.93,1505
14179,฿719.78,330
14180,฿6110.75,864
14181,฿310.55,122
14182,฿660.07,172
14183,฿286.29,61
14184,฿452.89,127
14185,฿197.65,6
14186,฿1550.63,1550
14187,฿123.5,50
14188,฿2018.91,1145
14189,฿5764.62,4628
14190,฿79.9,2
14191,฿4713.41,3709
14192,฿293.74,218
14193,฿1210.19,653
14194,฿18442.87,9927
14195,฿2381.24,1844
14196,฿335.52,142
14197,฿390.05,143
14198,฿1527.58,608
14199,฿916.5,230
14200,฿379.2,140
14201,฿1134.14,794
14202,฿847.76,166
14203,฿339.34,80
14204,฿1062.96,492
14205,฿1908.38,1131
14206,฿1145.21,926
14207,฿157.8,36
14208,฿567.05,529
14209,฿4937.37,1727
14210,฿5814.32,2596
14211,฿4301.69,2551
14212,฿2190.14,2046
14213,-฿1192.2,-244
14214,฿1000.23,748
14215,฿3404.53,2281
14216,฿2142.39,709
14217,฿3206.87,1232
14218,฿169.48,160
14219,฿633.83,363
14220,฿1515,468
14221,฿6506.59,3806
14222,฿683.17,607
14223,฿975.23,583
14224,฿1897.9,863
14225,฿2015.12,1155
14226,฿2967.78,1717
14227,฿6327.31,4036
14228,฿745.5,260
14229,฿2468.99,911
14230,฿979.8,246
14231,฿1131.97,603
14232,฿2043.93,1937
14233,฿2766.96,1226
14234,฿775.46,963
14235,฿4666.99,3002
14236,฿1732.74,810
14237,฿627.04,274
14238,฿434.23,189
14239,฿4203.72,1721
14240,฿1247.49,655
14241,฿333.7,242
14242,฿280.55,123
14243,฿7365.36,3666
14244,฿354.82,802
14245,฿1677.48,971
14246,฿1474.06,804
14247,฿769.71,381
14248,฿1032.95,692
14249,฿5625.461,2487
14250,฿1904.05,1200
14251,฿2879.7,1674
14252,฿350.99,111
14253,฿363.4,88
14254,฿601.03,263
14255,-฿1441.6,-2
14256,฿2397.34,1162
14257,฿5942,3327
14258,฿31027.35,17271
14259,฿120,68
14260,฿824.28,544
14261,฿1163.45,406
14262,฿2618.23,1645
14263,฿322.93,171
14264,฿1461.36,541
14265,฿1373.35,715
14266,฿40.56,24
14267,฿1259.19,459
14268,฿354.85,147
14269,฿261.68,114
14270,฿492.65,197
14271,฿219.13,149
14272,฿920.81,1097
14273,฿559.97,264
14274,฿256.6,178
14275,฿1189.38,538
14276,฿1929.32,1344
14277,฿4324.47,1891
14278,฿205.83,131
14279,฿191.86,46
14280,฿134.04,52
14281,฿245.15,45
14282,฿7844.66,5474
14283,฿628.44,550
14284,฿1282.85,506
14285,฿3158.64,953
14286,฿8396.7,8695
14287,฿151.23,236
14288,฿413.85,187
14289,฿911.26,292
14290,฿4208.93,1514
14291,฿7844.4,6140
14292,฿8887.9,3373
14293,฿3174.33,1586
14294,฿375.34,190
14295,฿2316.06,1022
14296,฿448.45,313
14297,฿1284.06,861
14298,฿90489.31,99854
14299,฿12827.77,8033
14300,฿43.2,32
14301,฿1956.23,1673
14302,฿742.9,298
14303,฿277.94,218
14304,฿1523.81,687
14305,฿1803.76,1069
14306,฿3141.5,2063
14307,฿5063.08,3373
14308,-฿849.45,-1
14309,฿3747.96,2569
14310,฿492.1,230
14311,฿435.9,214
14312,฿3090.29,1904
14313,-฿302.31,-1
14314,฿221.9,330
14315,฿3168.72,1332
14316,฿1355.34,4482
14317,฿508.58,255
14318,฿158.02,152
14319,฿476.95,327
14320,฿1204.12,626
14321,฿2198.58,3271
14322,฿384.3,142
14323,฿574.26,340
14324,฿701.61,402
14325,฿245.48,320
14326,฿923.98,568
14327,฿1894.93,1296
14328,-฿445.06,-1
14329,฿9735.52,5887
14330,฿200.63,103
14331,฿462.66,252
14332,฿1943.51,893
14333,฿351.45,52
14334,฿4292.98,2984
14335,฿468.26,379
14336,฿1614.91,1759
14337,-฿658.63,-393
14338,฿894.1,616
14339,฿600.66,438
14340,฿134.7,58
14341,฿4443.47,2816
14342,฿842.74,508
14343,฿1088.91,631
14344,฿3333.7,1669
14345,฿108.98,50
14346,฿2315.75,1878
14347,฿82.6,48
14348,฿409.57,183
14349,฿133.5,86
14350,฿947.8,526
14351,฿51,12
14352,฿1078.96,538
14353,฿376.5,344
14354,฿163.62,210
14355,฿1014.45,709
14356,฿666.94,266
14357,฿225.77,148
14358,฿384.3,337
14359,฿882.58,363
14360,฿2128.23,1151
14361,฿214.71,251
14362,฿161.2,100
14363,฿227.47,105
14364,฿3717.35,1967
14365,฿634.68,557
14366,฿136,16
14367,฿9167.82,4410
14368,฿155,36
14369,฿469.13,255
14370,฿1092.13,257
14371,฿100.5,34
14372,฿830.18,376
14373,฿76.55,17
14374,฿108,20
14375,฿1132.99,659
14376,฿215.46,50
14377,฿617.05,219
14378,฿131.25,57
14379,฿1268.91,713
14380,-฿99.73,0
14381,฿631.34,453
14382,฿1240.85,1700
14383,฿1247.69,817
14384,฿58.5,30
14385,฿202.11,159
14386,฿142.4,54
14387,฿1770.56,819
14388,฿6589.3,4336
14389,฿1821.07,1333
14390,฿6323.33,2896
14391,฿135.6,168
14392,฿266.4,114
14393,฿67.95,13
14394,฿93.8,58
14395,฿8160.81,4066
14396,฿2121.93,1022
14397,฿2556.68,1852
14398,฿707.79,267
14399,฿2098.16,960
14400,฿1703,1693
14401,฿6703.4,6379
14402,฿285.6,240
14403,฿1822.76,726
14404,฿2800.11,1636
14405,฿195,100
14406,฿156.75,77
14407,฿2111.08,1412
14408,฿4109.77,2444
14409,฿3453.69,2257
14410,฿2122.37,1099
14411,฿1063,196
14412,฿1417.49,1426
14413,฿770.37,280
14414,฿2387.48,2874
14415,฿11915.13,6246
14416,฿490.22,326
14417,฿604.2,567
14418,฿1937.25,1711
14419,฿1260.91,556
14420,฿1627.72,1115
14421,฿2456.62,1341
14422,฿10200.92,6059
14423,฿914.96,418
14424,฿322.08,48
14425,฿635.89,319
14426,฿11103.97,6656
14427,฿1263.52,538
14428,฿1230.14,428
14429,฿516.28,286
14430,฿956.4,408
14431,฿2541.6,1194
14432,฿2255.51,2070
14433,฿289.6,134
14434,฿1372.8,368
14435,฿90.42,282
14436,฿271.7,297
14437,฿829.94,479
14438,฿131.9,82
14439,฿9443.04,2244
14440,฿6526.83,1745
14441,฿4361.59,1241
14442,฿5272.02,1420
14443,฿2351.58,1509
14444,฿132.04,180
14445,฿221.65,83
14446,฿1241.31,1116
14447,฿1711.73,913
14448,฿375.35,104
14449,฿2482.8,1778
14450,฿1128.44,522
14451,฿3265.59,1723
14452,฿665.59,289
14453,฿119.93,49
14454,฿970.7,396
14455,฿594.86,682
14456,฿3047.63,2901
14457,฿113.64,88
14458,฿237.42,328
14459,฿5339.141,2302
14460,฿919.6,1761
14461,฿6697.6,3025
14462,฿2231.89,1040
14463,฿786.57,210
14464,฿111,62
14465,฿3946.03,2546
14466,฿4646.9,2644
14467,฿2220.99,1196
14468,฿204.24,164
14469,฿2112.21,980
14470,฿712.04,282
14471,฿400.95,187
14472,฿2228.22,1305
14473,฿234.34,88
14474,฿1268.13,452
14475,฿1025.12,522
14476,฿215.7,132
14477,฿1960.61,1115
14478,฿1276.66,1226
14479,฿1299.11,620
14480,฿1295.27,669
14481,฿1935.32,1583
14482,฿4192.25,2805
14483,฿249.2,191
14484,฿1070.98,744
14485,฿165.75,71
14486,฿175.5,90
14487,฿1428.11,835
14488,฿1047.43,793
14489,฿1574.93,1011
14490,฿1273.47,933
14491,฿468.13,179
14492,฿1574.36,639
14493,฿5036.05,3171
14494,฿401.46,210
14495,฿166.3,67
14496,฿2645.88,980
14497,฿679.16,330
14498,฿3911.27,2122
14499,฿2120.62,1241
14500,฿356.85,117
14501,฿190.31,119
14502,฿2351.02,1483
14503,฿3543.26,2004
14504,฿673.26,308
14505,฿11718.8,5304
14506,฿3290.67,1078
14507,฿3172.49,1493
14508,฿856.09,346
14509,฿110.95,38
14510,฿991.98,815
14511,฿1267.41,772
14512,฿1223.47,742
14513,฿770.91,587
14514,฿4594.73,2495
14515,฿3718.9,1907
14516,฿163.92,68
14517,฿330.45,91
14518,฿174.37,278
14519,฿206.09,82
14520,฿270.6,146
14521,฿167.65,203
14522,฿1758.62,968
14523,฿241.09,251
14524,฿2933.71,1176
14525,฿8129.81,5201
14526,฿262.4,179
14527,฿25774.54,6555
14528,฿364.22,278
14529,฿620.04,348
14530,฿6077.15,2999
14531,฿376.34,260
14532,฿3846.43,1114
14533,฿3185.12,4783
14534,฿5786.42,2719
14535,฿5872.63,3214
14536,฿171.8,40
14537,฿635.45,227
14538,฿1370.84,284
14539,฿537.48,428
14540,฿3785.44,1617
14541,฿2499.68,1129
14542,฿103.25,19
14543,฿12194.01,2104
14544,฿2982.43,2438
14545,฿349.25,236
14546,฿5001.03,2620
14547,฿3986.74,2658
14548,฿2627.49,1021
14549,฿916.55,395
14550,฿1353.31,776
14551,฿858.59,476
14552,฿511.28,261
14553,฿1816.04,1138
14554,฿2381.04,1478
14555,฿2306.48,847
14556,฿835.34,331
14557,฿0,0
14558,฿614.1,158
14559,฿75.6,72
14560,฿6050.44,4543
14561,฿1080.76,1014
14562,฿6363.85,2440
14563,฿679.44,335
14564,฿2519.32,1284
14565,฿3833.87,1932
14566,฿4092,2400
14567,฿1524.46,410
14568,฿909.5,633
14569,฿598.98,258
14570,฿613.75,431
14571,฿161.65,57
14572,฿5573.28,2929
14573,฿2571.72,829
14574,฿143.7,63
14575,฿460.71,176
14576,฿70.8,24
14577,฿1374.25,573
14578,฿168.63,240
14579,฿105.56,56
14580,฿14.85,3
14581,฿433.8,309
14582,฿114.11,73
14583,฿1781.03,1155
14584,฿1734.91,959
14585,฿1143.27,630
14586,฿134.16,236
14587,฿1598.24,759
14588,฿135.39,62
14589,฿79.5,10
14590,฿2884.29,881
14591,฿1447.14,1297
14592,฿570.46,415
14593,฿3615.17,1862
14594,฿634.83,331
14595,฿2164.45,1228
14596,฿229.47,79
14597,฿2201.54,1447
14598,฿221.97,189
14599,฿474.54,295
14600,฿865.17,487
14601,฿213.96,168
14602,฿205.36,80
14603,฿660,400
14604,฿143.86,88
14605,฿937.16,424
14606,฿30094.38,15300
14607,฿18745.56,11706
14608,฿3273.44,917
14609,฿1366.2,10320
14610,฿24.35,15
14611,฿599.38,581
14612,฿877.7,134
14613,฿76.32,72
14614,฿295.13,189
14615,฿934.26,481
14616,฿527.78,170
14617,฿190.47,81
14618,฿1295.67,697
14619,฿1276.31,587
14620,฿393.28,188
14621,฿2878.27,1671
14622,฿320.58,146
14623,฿2030.83,1054
14624,฿814.07,645
14625,฿4391.53,2141
14626,฿5374.77,3118
14627,฿406.4,269
14628,฿1998,1147
14629,฿939.21,376
14630,฿338.65,111
14631,฿2023.17,1395
14632,฿114.56,96
14633,฿344.9,96
14634,฿1971.82,1850
14635,฿215.22,118
14636,฿609.85,241
14637,฿106.68,100
14638,฿443.6,166
14639,฿4946.81,2407
14640,฿3464.03,1558
14641,฿110.46,90
14642,฿96.12,76
14643,฿1654.69,1317
14644,฿2077.47,755
14645,฿840.24,574
14646,฿523342.07,365220
14647,฿519.97,180
14648,฿4458.21,3285
14649,฿3754.16,2461
14650,฿62.5,22
14651,฿2034.12,886
14652,฿114.18,53
14653,฿3614.54,1976
14654,฿246.86,273
14655,฿3829.23,2325
14656,฿814.65,318
14657,฿1450.92,884
14658,฿247.15,47
14659,฿2456.53,1183
14660,฿285.74,228
14661,฿107.95,35
14662,฿1416.33,935
14663,฿490.6,397
14664,฿637.89,466
14665,฿2172.33,904
14666,฿195.25,161
14667,฿21720.59,12944
14668,฿111.63,49
14669,฿3243.93,2054
14670,฿602,434
14671,฿1127.45,571
14672,฿1113.14,646
14673,฿3410.81,2035
14674,฿173.66,103
14675,฿1066.9,726
14676,฿8285.49,8744
14677,฿184.91,139
14678,฿386.44,178
14679,฿1270.4,788
14680,฿54801.34,26020
14681,฿875.15,172
14682,฿1514.81,949
14683,฿146.56,386
14684,฿1468.55,1039
14685,฿4324.31,1952
14686,฿877.88,474
14687,฿1402.06,850
14688,฿7190.08,5181
14689,฿112.8,76
14690,฿781.24,337
14691,฿2114.33,707
14692,฿1735.59,895
14693,฿1139.86,386
14694,฿244.31,193
14695,฿1552.57,624
14696,฿2758.67,2146
14697,฿188.61,181
14698,฿1250.76,615
14699,฿702.6,484
14700,฿3116.26,1634
14701,฿4498.94,1759
14702,฿6695.72,3061
14703,฿318.17,183
14704,฿1813.57,1209
14705,฿179,100
14706,฿390.69,263
14707,฿139.2,96
14708,฿2182.58,1503
14709,฿8866.48,4138
14710,฿1922.59,1151
14711,฿2838.2,966
14712,฿1328.07,411
14713,฿5372.47,3445
14714,฿896.4,637
14715,฿1840.45,1034
14716,฿565.45,752
